Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,seulement,only
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,mois,month
8,laisser,let
9,car,because
10,mettre,to put
11,aucun,no
12,laisse,leash
13,eux,them
15,parlé,speak
16,arrivé,come
17,devrait,should
18,bébé,baby
19,longtemps,long time
20,heures,hours
21,vont,will
22,pendant,while
23,revoir,meet again
24,place,square
25,parle,speak
26,compris,understood
27,savais,knew
28,étaient,were
29,voici,here is
30,pourrais,could
31,affaire,case
32,donner,give
33,type,type
35,donné,given
36,train,train
37,corps,body
38,endroit,place
39,yeux,eyes
40,façon,way
41,écoute,listen
42,dont,whose
43,trouve,find
44,premier,first
45,perdu,lost
46,main,hand
47,première,first
48,côté,side
49,pouvoir,power
50,vieux,old
51,sois,be
52,tiens,here
53,matin,morning
54,tellement,so much
55,enfant,child
57,suite,after
58,pardon,sorry
59,venez,come
60,devant,in front of
61,vers,towards
62,minutes,minutes
63,demandé,request
65,mis,placed
66,belle,beautiful
67,droit,law
68,aimerais,would like to
70,mari,husband
71,enfin,finally
72,espère,hope
73,eau,water
74,attendez,Wait
75,parti,left
76,nouvelle,new
77,boulot,job
78,arrêter,Stop
79,dirait,would say
80,terre,Earth
81,compte,account
82,donne,given
83,loin,far
84,fin,end
85,croire,believe
86,chérie,sweetheart
87,gros,large
88,plutôt,rather
89,aura,will have
90,filles,girls
91,jouer,to play
92,bureau,office
